"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Design and Implementation of a UPOD for Decentralized IoT Data Platform Based on the ActivityPub Protocol","Y. Ni; T. Zhou; X. Gao; H. Chen","Department of Information and Electronics System Engineering, Daiichi Institute of Technology, Tokyo, Japan; Department of Information and Electronics System Engineering, Daiichi Institute of Technology, Tokyo, Japan; Department of Information and Electronics System Engineering, Daiichi Institute of Technology, Tokyo, Japan; Department of Information and Electronics System Engineering, Daiichi Institute of Technology, Tokyo, Japan","2023 IEEE Intl Conf on Dependable, Autonomic and Secure Computing, Intl Conf on Pervasive Intelligence and Computing, Intl Conf on Cloud and Big Data Computing, Intl Conf on Cyber Science and Technology Congress (DASC/PiCom/CBDCom/CyberSciTech)","25 Dec 2023","2023","","","0825","0830","With the advancement of IoT technology, an increasing number of devices and sensors are connecting to the network, leading to data fragmentation due to diverse data standards adopted by different enterprises. Typically, IoT data is stored on company servers and is at risk of being lost if non-profit projects are terminated. Moreover, due to their size and prominence, large enterprise servers often become primary targets for hackers, posing threats to user privacy and security. In this study, we designed and implemented the decentralized IoT data platform, UPOD. Adhering to a human-centric approach, UPOD aims to provide users with a platform for personal online data storage, empowering them to self-manage their data. We advocate for the use of the ActivityPub protocol, commonly applied in decentralized social networks, as UPOD's communication protocol to unify the management of UPOD and social network data. Recognizing the diverse nature of user data, we introduced the concept of virtual roles and developed an IoT data allocation mechanism. This allows users to customize data assignment to various virtual roles and decide on sharing this data with third parties. To demonstrate its feasibility, we constructed a UPOD prototype for evaluation. The UPOD system offers guidance in addressing the issue of IoT data fragmentation. The introduced concept of virtual roles allows precise control over which data is shared or revoked, ensuring only appropriate or necessary data is shared or withdrawn, safeguarding user privacy. Since UPOD provides unified storage for users' personal data, their information remains accessible even if a company's service or project ceases, ensuring the security of individual IoT data.","2837-0740","979-8-3503-0460-2","10.1109/DASC/PiCom/CBDCom/Cy59711.2023.10361378","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10361378","Decentralized Social Network;Human-centric;ActivityPub;UPOD;IoT","Data privacy;Protocols;Social networking (online);Source coding;Prototypes;Companies;Servers","","4","","8","IEEE","25 Dec 2023","","","IEEE","IEEE Conferences"
"Pervasive and Connected Digital Twins—A Vision for Digital Health","A. Ricci; A. Croatti; S. Montagna","Alma Mater Studiorum - Università di Bologna, Bologna, Italy; Azienda USL della Romagna, Cesena, Italy; Alma Mater Studiorum - Università di Bologna, Bologna, Italy",IEEE Internet Computing,"13 Sep 2022","2022","26","5","26","32","Healthcare is a primary domain where digital twins are being explored and applied. In this context, the main perspective explored in research and industry insofar is about the virtualization of standalone assets—such as devices, structures, and patients—in a digital twin as-an-application perspective. However, in the real world, these assets are often related to each other, taking part in the same processes and physical ecosystem. In this article, we discuss a vision in which digital twins are used to virtualizing contexts and situations involving multiple related strategic assets of a health organization, resulting in ecosystems of digital twins based on a digital-twin as-a-service perspective. Trauma management is considered as a specific concrete real-world example; nevertheless, open ecosystems of digital twins appear to be a blueprint for virtualizing complex physical realities applicable across different application domains.","1941-0131","","10.1109/MIC.2021.3052039","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9325551","","Digital twins;Internet;Hospitals;Electronic healthcare;Real-time systems;Interoperability;Accidents;Ecosystems","","36","","15","IEEE","15 Jan 2021","","","IEEE","IEEE Magazines"
"Network Data Acquisition and Monitoring System for Intensive Care Mechanical Ventilation Treatment","Q. A. Ng; Y. S. Chiew; X. Wang; C. P. Tan; M. B. M. Nor; N. S. Damanhuri; J. G. Chase","School of Engineering, Monash University Malaysia, Subang Jaya, Malaysia; School of Engineering, Monash University Malaysia, Subang Jaya, Malaysia; School of Engineering, Monash University Malaysia, Subang Jaya, Malaysia; School of Engineering, Monash University Malaysia, Subang Jaya, Malaysia; Kulliyah of Medicine, International Islamic University Malaysia, Kuantan, Malaysia; Faculty of Electrical Engineering, Universiti Teknologi MARA, Cawangan Pulau Pinang, Permatang Pauh, Malaysia; Center of Bioengineering, University of Canterbury, Christchurch, New Zealand",IEEE Access,"30 Jun 2021","2021","9","","91859","91873","The rise of model-based and machine learning methods have created increasingly realistic opportunities to implement personalized, patient-specific mechanical ventilation (MV) in the ICU. These methods require monitoring of real-time patient ventilation waveform data (VWD) during MV treatment. However, there are relatively few non-invasive and/or non-proprietary systems to monitor and record patient-specific lung condition in real-time. In this paper, we present a CARE network data acquisition and monitoring system (CARENet) to automate data collection and to remotely monitor patient-specific lung condition and ventilation parameters. The automated system acquires VWD from a mechanical ventilator using a data acquisition device (DAQ), stores data in network-attached storage (NAS), and processes VWDs via a data management platform (DMP) web application. The web application enables real-time and retrospective model-based monitoring and analysis of clinical MV data. In particular, CARENet provides detailed breath-by-breath patient-specific respiratory mechanics, as well as the overall trends assessing changes in patient condition. Validation testing with a retrospective data set illustrated how breath-to-breath and time-varying patient-ventilator interaction during MV can be monitored, and, in turn, can be used to guide MV treatment. The network data acquisition system design presented is low-cost, open, and enables continuous, automated, scalable, real-time collection and analysis of waveform data, to help improve decision making, care, and outcomes in MV.","2169-3536","","10.1109/ACCESS.2021.3092194","Ministry of Energy, Science, Technology, Environment and Climate Change (MESTECC) International Collaboration Fund(grant numbers:IF0219I1060); International Islamic University Malaysia Research Ethics Committee (IREC)(grant numbers:IRC666); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9464296","Mechanical ventilation (MV);ventilator waveform data (VWD);network data acquisition;respiratory mechanics;data management platform (DMP)","Data acquisition;Monitoring;Real-time systems;Ventilators;Ventilation;Graphical user interfaces;Servers","","24","","93","CCBY","24 Jun 2021","","","IEEE","IEEE Journals"
"IoT Health Data in Electronic Health Records (EHR): Security and Privacy Issues in Era of 6G","A. Koren; R. Prasad","Faculty of Electrical Engineering and Computing, University of Zagreb, Zagreb, Croatia; Department of Business Development and Technology, CTIF GLOBAL CAPSULE, Aarhus University, Herning, Denmark",Journal of ICT Standardization,"22 Sep 2023","2022","10","1","63","84","Millions of wearable devices with embedded sensors (e.g., fitness trackers) are present in daily lives of its users, with the number growing continuously, especially with the approaching 6G communication technology. These devices are helping their users in monitoring daily activities and promoting positive health habits. Potential integration of such collected data into central medical system would lead to more personalized healthcare and an improved patient-physician experience. However, this process is met with several challenges, as medical data is of a highly sensitive nature. This paper focuses on the security and privacy issues for such a process. After providing a comprehensive list of security and privacy threats relevant to data collection and its handling within a Central Health Information system, the paper addresses the challenges of designing a secure system and offeres recommendations, solutions and guidelines for identified pre-6G and 6G security and privacy issues.","2246-0853","","10.13052/jicts2245-800X.1014","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10255403","Wearable sensors;eHealth;healthcare;6G;internet of things;internet of medical things;electronic health record;EHR","6G mobile communication;Privacy;Wearable computers;Medical services;Quality of service;Regulation;Security","","1","","48","","22 Sep 2023","","","River Publishers","River Publishers Journals"
"Basic Medical Information Sharing System Design Based on IoT Technology","D. Cheng; Y. Fu; Y. Zhou","Hainan Medical University, Hankou, China; The Third People's Hospital of Haikou City, Hankou, China; Hainan Medical University, Hankou, China","2022 International Conference on Intelligent Transportation, Big Data & Smart City (ICITBS)","18 Aug 2023","2022","","","375","378","To make the hospital information management adapt to the development of modernization, this paper integrates the Internet of things(IoT) technology into the hospital information management system, and gives the specific architecture and construction ideas. We designed the overall structure framework and information system function framework of hospital information management system. Then, the hardware and software structure of the whole system and their implementation are provided, including the implementation of the interface function of the IoT and the expansion of the model. Finally, a regional medical information data sharing platform based on cloud computing is established by SOA, web services and other technologies, and the core functions of the system are tested. The operation results show that the scheme can realize the remote medical information monitoring, the real-time transmission and real-time sharing of cloud computing, big data and traditional Chinese medicine information, and enhance the flexibility and security of smart hospital service access.","2770-0593","978-1-6654-9721-3","10.1109/ICITBS55627.2022.00087","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10211073","IoT;medical information;SOA;formal description;cloud platform","Cloud computing;Software design;Hospitals;Smart cities;Information sharing;Software systems;Real-time systems","","3","","6","IEEE","18 Aug 2023","","","IEEE","IEEE Conferences"
"A Systematic Analysis on Blockchain Integration With Healthcare Domain: Scope and Challenges","S. Khatri; F. A. Alzahrani; M. T. J. Ansari; A. Agrawal; R. Kumar; R. A. Khan","Department of Information Technology, Babasaheb Bhimrao Ambedkar University, Lucknow, India; Department of Computer Engineering, College of Computer and Information Systems, Umm Al-Qura University, Makkah, Saudi Arabia; Department of Information Technology, Babasaheb Bhimrao Ambedkar University, Lucknow, India; Department of Information Technology, Babasaheb Bhimrao Ambedkar University, Lucknow, India; Department of Computer Applications, Shri Ramswaroop Memorial University, Barabanki, India; Department of Information Technology, Babasaheb Bhimrao Ambedkar University, Lucknow, India",IEEE Access,"16 Jun 2021","2021","9","","84666","84687","A secure, smart and peer-to-peer transactions framework can be developed by Blockchain. Blockchain has enormous potential to turn health care systems as a horizontal technology, which has changed many fields of industry. The aim of this article is to critically review 50 papers published between 2015 and 2020 on blockchain-based health systems. 36 of these were journal papers; 7 were from conferences, 4 were from various symposiums; 3 were from seminars and 1 chapter was written in the book. Three key questions will be answered in this report. Firstly, what are the emerging trends of blockchain application development in healthcare from a technical perspective? Secondly, in what ways will the systematic analysis presented here contribute to a better understanding of the potential for incorporating blockchain-based technologies into the healthcare domain? Third, what are the important challenges in adopting blockchain as a solution in the healthcare domain? The descriptive analysis contains in this article shows the statistical statistics on the strategies of these 50 papers reveal that many of the blockchain systems proposed are using privately held blockchain and Ethereum platforms. We also address possible emerging trends of blockchain application such as blockchain integration with artificial intelligence, cloud based solutions and parallel block chain architecture.","2169-3536","","10.1109/ACCESS.2021.3087608","National Science, Technology and Innovation Plan (MAARIFAH)(grant numbers:12-INF2970-10); King Abdul-Aziz City for Science and Technology (KACST), Kingdom of Saudi Arabia; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9449835","Blockchain;healthcare;security;smart contracts;systematic review","Blockchain;Medical services;Systematics;Industries;Smart contracts;Interoperability","","76","","88","CCBY","9 Jun 2021","","","IEEE","IEEE Journals"
"8 Decentralized solutions for data collection and privacy in healthcare","E. Karaarslan; E. Konacaklı",NA; NA,Artificial Intelligence for Data-Driven Medical Diagnosis,"","2021","","","167","190","Using artificial intelligence (AI) for data-driven medical diagnosis requires processing a wide variety and massive amounts of medical data collected from different resources. Resilience, controllability and privacy of the medical data are the most important concerns for enabling AI-based data-driven medical diagnosis. Health data storage and its security and privacy requirements emerge as one of the most important challenges. The privacy concerns and lack of trust in the system became the main barrier for collecting and storing personal medical data. The patient should be given the data ownership and the track of the collected data should be kept. The privacy and security requirements of this data can be covered by using decentralized solutions. Decentralized solutions give us the opportunity of removing the intermediaries and establish trust between peers. This chapter aims at summarizing the current studies and their possible impacts on the health industry and medical studies. Possible future uses of integrating blockchain with AI are given. AI can also be used to solve the challenges in blockchain and this chapter also addresses some solutions. Multiplatform interoperable scalable architecture model for healthcare data sharing is proposed.","","9783110668384","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10788905.pdf&bkn=10783463&pdfType=chapter","","Blockchains;Peer-to-peer computing;Medical diagnostic imaging;Security;Data privacy;Artificial intelligence;Privacy;Biomedical monitoring;Servers;Medical diagnosis","","","","","","16 Jan 2025","","","De Gruyter","De Gruyter eBook Chapters"
"11 Software-Defined Networking for Healthcare Internet of Things","R. Sharma",NA,Applications of Machine Learning in Big-Data Analytics and Cloud Computing,"","2021","","","231","247","Internet of Things (IoT) has become an integral part of industry operation over the past few years. IoT applications have seen remarkable rise in the industries such as healthcare, agriculture, supply chain, smart energy, building and industrial automation, and connected cars. This chapter focuses on the healthcare industry. The chapter presents the applications and challenges of using IoT in healthcare industry and discusses the advantages, challenges, and possible solutions of incorporating softwaredefined networks (SDN) in healthcare Internet of Things (H-IoT). An architecture for SDN-based H-IoT system is presented and discussed. The chapter also discusses open research challenges, possible solutions, and research opportunities of integrating SDN with H-IoT.","","9788770221818","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=9478294.pdf&bkn=9478280&pdfType=chapter","","","","","","","","8 Jul 2021","","","River Publishers","River eBook Chapters"
"An Integrated Data Warehouse to Identify HIV/AIDS Prevalence","A. Mehmood","University of Central, Punjab",2024 Horizons of Information Technology and Engineering (HITE),"9 Dec 2024","2024","","","1","6","Major advances in the medical domain have led to an increase in biological data. Hence it is becoming difficult to compile such data and use it to extract some beneficial information, A Data warehouse is one of the solutions to compile massive amounts of data in one place and use it for strategic decision-making. The data warehouse development for an enterprise is also beneficial in the aspect that it is a permanent storage space for various data sources which, together in one place, support business intelligence functions, strategic decision-making, reporting, and analysis. Despite data warehouse advantages in the medical domain, there are a few challenges in its development. The prominent involves the fact that data in the medical domain is usually in text format. Different departments in healthcare organizations have unique records for patients. Also, doctors or nurses may use different medical terminologies to record patients’ data. In the medical domain, historical data holds significant importance in predicting the future of diseases; hence it needs to be kept in a non-volatile storage i.e., a data warehouse. HIV (Human Immunodeficiency Virus) has been a deadly disease in human life for many years. Its eradication is a big challenge for physicians, and researchers are also looking for methods to save lives from HIV/AIDS (Acquired Immune Deficiency Syndrome). This paper presents a scalable data warehouse architecture designed for managing HIV/AIDS data. The system enables strategic decision-making by handling heterogeneous data sources and offers improved query performance through OLAP. The purpose of this paper is to build a data warehouse to help in strategic decision-making that is useful for the diagnosis and treatment of HIV patients.","","979-8-3315-1605-5","10.1109/HITE63532.2024.10777171","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10777171","","Knowledge engineering;Terminology;Soft sensors;Decision making;Medical services;Organizations;Data warehouses;Human immunodeficiency virus;Business intelligence;Medical diagnostic imaging","","1","","18","IEEE","9 Dec 2024","","","IEEE","IEEE Conferences"
"A Novel Approach to Design Secured and Privacy Enabled Health Data Linkage System based on Cyber Security Principles","G. S; A. J. Mabel Rani; A. P. S; C. N. Ravi; M. Jeyalaxmi; V. S. Pandi","Department of Computer Science and Engineering, R.M.K. Engineering College, Tamil Nadu, India; Department of Computer Science and Engineering, Saveetha School of Engineering, Saveetha Institute of Medical and Technical Sciences, Chennai, Tamil Nadu, India; Department of Biomedical Engineering Vel Tech Multi Tech Dr.Rangarajan, Dr.Sakunthala Engineering College, Avadi, Chennai; Department of Computer Science and Engineering, CMR Engineering College, Hyderabad, Medchal; Department of Physics, Prince Shri Venkateshwara Padmavathy Engineering College, Chennai; Centre for Advanced Wireless Integrated Technology, Chennai Institute of Technology, Chennai, Tamil Nadu, India",2024 IEEE International Conference on Big Data & Machine Learning (ICBDML),"2 Jul 2024","2024","","","14","20","Medical records from a variety of sources must be integrated into healthcare data repositories for knowledge discovery to be possible. An essential area of study is how to keep records linked when merging medical data. Researchers have proposed many solutions to this issue, all of which are relevant to industrialized nations that use patient identification numbers such as social security numbers, health insurance numbers, universal patient identifiers (UPIs), etc., to keep track of electronic health records. Because of issues with missing data, unclear patient identification, and excessive noise in patient information, these systems are not suitable for record linking of health data in underdeveloped nations. There is a serious concern that patients' personally identifiable information stored in electronic health records poses a threat to their privacy and leaves health information systems open to intrusion. We have examined the real-world challenges of healthcare data collection and integration for a national health data warehouse in this article. To accommodate the limited health data of poor nations like Bangladesh, we have developed privacy-preserving secured record linkage architecture we call Secured Health Data Handler (SHDH). For the purpose of facilitating the knowledge discovery process, our approach may anonymize identifying private data of patients while preserving record linkage in integrated health repositories. Even without a standard ID, our suggested strategy was able to connect records with sufficient accuracy for noisy data, according to the experimental results.","","979-8-3503-7410-0","10.1109/ICBDML60909.2024.10577373","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10577373","Secured Data;Data Privacy;Healthcare;Data Linkage;Cyber Security;Secured Health Data Handler;SHDH;Cipher Data Security;CDS","Couplings;Data privacy;Sociology;Data warehouses;Knowledge discovery;Security;Electronic medical records","","","","12","IEEE","2 Jul 2024","","","IEEE","IEEE Conferences"
"Data Platform To Accelerate Healthcare Insights Generation","A. Sundararaman","Health Analytics Platforms and Services, CloudFirst Accenture Technology, Chennai, India",2023 IEEE 11th International Conference on Healthcare Informatics (ICHI),"11 Dec 2023","2023","","","470","475","Healthcare Industry is abundant with data, yet poor in insights. Gaps are primary due to highly unstructured data prevalent in medical notes, clinical records, lab results etc. This challenge is compounded with lack of integration of data sources; data that is required for effective medical outcomes is spread across 4 large islands viz., EMRs, Health Administrators, Personal Health Records (including wearables, lifestyle data, implanted medical devices) and Public Health data. Integrating such disparate sources, structures and making meaningful use of healthcare data continues to be time consuming and costly. The Industry cannot afford longer timelines and excessive costs in the form of multiple proprietary environments to integrate such datasets. Emergence of data platforms on the cloud are expected to address these challenges. This paper discusses the need for a Healthcare Data Platform to accelerate insights generation and presents a patented cloud health data platform solution that accelerates insights generation. This paper discusses in detail the Architecture and Design principles, technical details and benefits and value from implementation experiences, besides outlining future directions.","2575-2634","979-8-3503-0263-9","10.1109/ICHI57859.2023.00069","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10337275","Data Supply chain;accelerated insights;Healthcare Data Platform;modular design;Big Data;cloud data services","Industries;Medical devices;Costs;Wearable computers;Soft sensors;Public healthcare;Informatics","","","","17","IEEE","11 Dec 2023","","","IEEE","IEEE Conferences"
"Decentralized Medical Record Model Using Composable NFT: Achieving Data Security, Interoperability, and Privacy through Granular Data Access","D. S. Amaracitra; A. Alamsyah","School of Economic and Business, Telkom University, Bandung, Indonesia; School of Economic and Business, Telkom University, Bandung, Indonesia",2025 15th International Conference on Electrical Engineering (ICEENG),"17 Jun 2025","2025","","","1","6","Behind the prominence of Electronic Health Records (EHRs) in improving healthcare efficiency, their reliance on centralized infrastructure imposes significant challenges in security vulnerabilities, limited interoperability, and privacy concerns. To address these challenges, this study introduces a Decentralized Medical Record (DMR) model. The proposed model utilizes the decentralized nature of blockchain and integrates composable Non-Fungible Tokens (NFTs) to enable granular data access control. While the integration of blockchain has been studied, the integration of composable NFT in medical records is yet to be explored. The modular design of composable NFT leaves the potential to prevent unnecessary data exposure, ensuring medical data is secure and interoperable throughout treatment collaboration among diverse stakeholders while preserving patient privacy. By incorporating insurance participation in the healthcare ecosystem, this model enables personalized risk assessment. Through Multi-Criteria Analysis (MCA), the model evaluation focuses on six key aspects: functionality, benefit, potential, accessibility, credibility, and continuity. Using Simple Additive Weighting (SAW) under this methodology, we analyze stakeholder inputs and achieve an overall score of 0,868 indicating a positive rating in addressing stakeholder needs. Our findings contribute to medical data management by demonstrating a novel application of composable NFTs within a structured DMR framework, detailing its mechanism, NFT hierarchy, database architecture, and workflow.","","979-8-3315-1901-8","10.1109/ICEENG64546.2025.11031352","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11031352","Blockchain;Composable NFT;Decentralized;Electronic Health Record;Granular Data Access","Access control;Data privacy;Collaboration;Medical services;Data models;Stakeholders;Nonfungible tokens;Electronic medical records;Interoperability;Weighted sum model","","","","31","IEEE","17 Jun 2025","","","IEEE","IEEE Conferences"
"Formation of Unified Digital Health Information Space in Healthcare 4.0 Environment and interoperability issues","M. Mammadova; A. Ahmadova","Institute of Information Technology of Azerbaijan National Academy of Science, Baku, Azerbaijan; Institute of Information Technology of Azerbaijan National Academy of Science, Baku, Azerbaijan",2022 IEEE 16th International Conference on Application of Information and Communication Technologies (AICT),"16 Jan 2023","2022","","","1","6","This article analyzes the essence and goals of e-health and the problems hindering its development and highlights its structural components. It explores the integration of Industry 4.0 technologies into health and its effects, and reviews the possibilities opened up by Health 4.0. The integration issues of health information systems and generated data on the management levels of healthcare are studied and a conceptual model of a unified digital medical information space in the Republic of Azerbaijan is proposed. The issues of data sharing and interoperability of medical information systems in a unified medical space are investigated.","2472-8586","978-1-6654-5162-8","10.1109/AICT55583.2022.10013605","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10013605","digital healthcare;healthcare 4.0;unified health information space;interoperability","Limiting;Medical information systems;Data models;Electronic healthcare;Fourth Industrial Revolution;Information and communication technology;Interoperability","","1","","18","IEEE","16 Jan 2023","","","IEEE","IEEE Conferences"
"Explainable AI for Healthcare 5.0: Opportunities and Challenges","D. Saraswat; P. Bhattacharya; A. Verma; V. K. Prasad; S. Tanwar; G. Sharma; P. N. Bokoro; R. Sharma","Department of Computer Science and Engineering, Institute of Technology, Nirma University, Ahmedabad, Gujarat, India; Department of Computer Science and Engineering, Institute of Technology, Nirma University, Ahmedabad, Gujarat, India; Department of Computer Science and Engineering, Institute of Technology, Nirma University, Ahmedabad, Gujarat, India; Department of Computer Science and Engineering, Institute of Technology, Nirma University, Ahmedabad, Gujarat, India; Department of Computer Science and Engineering, Institute of Technology, Nirma University, Ahmedabad, Gujarat, India; Department of Electrical Engineering Technology, University of Johannesburg, Johannesburg, South Africa; Department of Electrical Engineering Technology, University of Johannesburg, Johannesburg, South Africa; Centre for Inter-Disciplinary Research and Innovation, University of Petroleum and Energy Studies, Dehradun, India",IEEE Access,"17 Aug 2022","2022","10","","84486","84517","In the healthcare domain, a transformative shift is envisioned towards Healthcare 5.0. It expands the operational boundaries of Healthcare 4.0 and leverages patient-centric digital wellness. Healthcare 5.0 focuses on real-time patient monitoring, ambient control and wellness, and privacy compliance through assisted technologies like artificial intelligence (AI), Internet-of-Things (IoT), big data, and assisted networking channels. However, healthcare operational procedures, verifiability of prediction models, resilience, and lack of ethical and regulatory frameworks are potential hindrances to the realization of Healthcare 5.0. Recently, explainable AI (EXAI) has been a disruptive trend in AI that focuses on the explainability of traditional AI models by leveraging the decision-making of the models and prediction outputs. The explainability factor opens new opportunities to the black-box models and brings confidence in healthcare stakeholders to interpret the machine learning (ML) and deep learning (DL) models. EXAI is focused on improving clinical health practices and brings transparency to the predictive analysis, which is crucial in the healthcare domain. Recent surveys on EXAI in healthcare have not significantly focused on the data analysis and interpretation of models, which lowers its practical deployment opportunities. Owing to the gap, the proposed survey explicitly details the requirements of EXAI in Healthcare 5.0, the operational and data collection process. Based on the review method and presented research questions, systematically, the article unfolds a proposed architecture that presents an EXAI ensemble on the computerized tomography (CT) image classification and segmentation process. A solution taxonomy of EXAI in Healthcare 5.0 is proposed, and operational challenges are presented. A supported case study on electrocardiogram (ECG) monitoring is presented that preserves the privacy of local models via federated learning (FL) and EXAI for metric validation. The case-study is supported through experimental validation. The analysis proves the efficacy of EXAI in health setups that envisions real-life model deployments in a wide range of clinical applications.","2169-3536","","10.1109/ACCESS.2022.3197671","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9852458","Explainable AI;healthcare 50;metrics;deep learning","Medical services;Artificial intelligence;Predictive models;Analytical models;Prediction algorithms;Medical diagnostic imaging;Deep learning","","217","","150","CCBY","8 Aug 2022","","","IEEE","IEEE Journals"
"MEXchange: A Privacy-Preserving Blockchain-Based Framework for Health Information Exchange Using Ring Signature and Stealth Address","D. Lee; M. Song","Department of Industrial & Management Engineering, Pohang University of Science and Technology (POSTECH), Pohang, Republic of Korea; Department of Industrial & Management Engineering, Pohang University of Science and Technology (POSTECH), Pohang, Republic of Korea",IEEE Access,"6 Dec 2021","2021","9","","158122","158139","Health information exchange (HIE) refers to the integrated management and secure sharing of health information among healthcare entities. HIE improves healthcare quality and streamlines healthcare administrative work. These advantages have propelled health- care stakeholders to implement HIE. However, challenged by issues such as security, privacy, and costs, HIE is not widespread. Recent studies have suggested blockchain-based HIE for solving security and privacy issues. Unfortunately, existing blockchain-based HIE studies do not consider the privacy issues caused by analyzing senders and receivers of transactions in the blockchain. In this work, we suggest MEXchange, a novel blockchain-based privacy-preserving HIE that prevents the privacy issue by obscuring the sender and concealing receiver addresses. We propose smart contracts and workflow that use ring signature and stealth address for blockchain-based HIE. Software components and implementation of MEXchange on the Ethereum private network are discussed. We evaluate MEXchange quantitatively by measuring the transaction latency and throughput of exchanging. Also, we evaluate MEXchange qualitatively using the requirements of the Office of National Coordinator for Health Information Technology (ONC). Moreover, we proceed with threat modeling based on STRIDE. Finally, we compare MEXchange with Ancile, FHIRChain, Integrating the Healthcare Enterprise Cross-Enterprise Document Sharing (IHE XDS), and MedRec. The MEXchange lowers barriers to the application of blockchain-based HIE systems by mitigating privacy and security issues among healthcare stakeholders.","2169-3536","","10.1109/ACCESS.2021.3130552","Ministry of Science and ICT (MSIT), South Korea, under the Information Technology Research Center (ITRC); Institute for Information & Communications Technology Planning & Evaluation (IITP)(grant numbers:IITP-2018-0-01441); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9627166","Health information exchange;blockchain;ring signature;stealth address;privacy","Blockchains;Receivers;Smart contracts;Privacy;Medical services;Public key;Metadata","","28","","30","CCBY","25 Nov 2021","","","IEEE","IEEE Journals"
"Improving Security Practices in Health Information Systems with STRIDE Threat Modeling","M. I. Hossain; R. Hasan","Dept. of Computer Science, University of Alabama at Birmingham, Birmingham, AL; Dept. of Computer Science, University of Alabama at irmingham, Birmingham, AL",2023 IEEE 9th World Forum on Internet of Things (WF-IoT),"30 May 2024","2023","","","1","6","Health Information Systems (HISs) are critical in modern healthcare by facilitating patient health information storage, management, and exchange. However, the increasing reliance on technology and the rise in cyber threats have heightened the importance of ensuring the security of these systems. In this paper, we present a comprehensive approach to improving security practices in HISs by applying the STRIDE threat modeling framework. The STRIDE framework offers a systematic methodology for identifying and analyzing potential vulnerabilities, covering threats such as Spoofing, Tampering, Repudiation, Information disclosure, Denial of Service, and Elevation of Privilege. By applying the STRIDE approach, healthcare organizations can proactively identify threats, evaluate their potential impact, and implement appropriate security controls to mitigate risks. Our threat model highlights the significance of a robust security posture in safeguarding patient privacy, maintaining data integrity, and ensuring the confidentiality of sensitive health information. Furthermore, it emphasizes the need for ongoing risk assessments, employee training, and adherence to industry best practices to address emerging security challenges effectivelvy.","2768-1734","979-8-3503-1161-7","10.1109/WF-IoT58464.2023.10539589","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10539589","Health Information Systems;Security Practice;STRIDE Threat Modeling;Patient Health Safety","Threat modeling;Training;Systematics;Storage management;Medical services;Organizations;Safety","","","","20","IEEE","30 May 2024","","","IEEE","IEEE Conferences"
