"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Document Type","Publication Stage","Open Access","Source","EID"
"Bossenko I.; Randmaa R.; Piho G.; Ross P.","Bossenko, Igor (57951337000); Randmaa, Rainer (57976265100); Piho, Gunnar (36497203700); Ross, Peeter (15760838900)","57951337000; 57976265100; 36497203700; 15760838900","Interoperability of health data using FHIR Mapping Language: transforming HL7 CDA to FHIR with reusable visual components","2024","Frontiers in Digital Health","6","","1480600","","","","2","10.3389/fdgth.2024.1480600","https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85213719525&doi=10.3389%2ffdgth.2024.1480600&partnerID=40&md5=7d41da8cd77c3f826be020e130c1ecb0","Introduction: Ecosystem-centered healthcare innovations, such as digital health platforms, patient-centric records, and mobile health applications, depend on the semantic interoperability of health data. This ensures efficient, patient-focused healthcare delivery in a mobile world where citizens frequently travel for work and leisure. Beyond healthcare delivery, semantic interoperability is crucial for secondary health data use. This paper introduces a tool and techniques for achieving health data semantic interoperability, using reusable visual transformation components to create and validate transformation rules and maps, making them usable for domain experts with minimal technical skills. Methods: The tool and techniques for health data semantic interoperability have been developed and validated using Design Science, a common methodology for developing software artifacts, including tools and techniques. Results: Our tool and techniques are designed to facilitate the interoperability of Electronic Health Records (EHRs) by enabling the seamless unification of various health data formats in real time, without the need for extensive physical data migrations. These tools simplify complex health data transformations, allowing domain experts to specify and validate intricate data transformation rules and maps. The need for such a solution arises from the ongoing transition of the Estonian National Health Information System (ENHIS) from Clinical Document Architecture (CDA) to Fast Healthcare Interoperability Resources (FHIR), but it is general enough to be used for other data transformation needs, including the European Health Data Space (EHDS) ecosystem. Conclusion: The proposed tool and techniques simplify health data transformation by allowing domain experts to specify and validate the necessary data transformation rules and maps. Evaluation by ENHIS domain experts demonstrated the usability, effectiveness, and business value of the tool and techniques. 2024 Bossenko, Randmaa, Piho and Ross.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85213719525"
"Shanbehzadeh M.; Kazemi-Arpanahi H.; Valipour A.; Zahedi A.","Shanbehzadeh, Mostafa (57216971321); Kazemi-Arpanahi, Hadi (57202931591); Valipour, Ali (57280848500); Zahedi, Atefeh (56976108100)","57216971321; 57202931591; 57280848500; 56976108100","Notifiable diseases interoperable framework toward improving Iran public health surveillance system: Lessons learned from COVID-19 pandemic","2021","Journal of Education and Health Promotion","10","1","","","","","15","10.4103/jehp.jehp-108220","https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85116106161&doi=10.4103%2fjehp.jehp-108220&partnerID=40&md5=38c4df69c1fa18937f8ff8bbab2d871a","Background: Direct transmission of notifiable disease information in a real-time and reliable way to public health decision-makers is imperative for early identification of epidemiological trends as well as proper response to potential pandemic like ongoing coronavirus disease 2019 crisis. Thus, this research aimed to develop of semantic-sharing and collaborative-modeling to meet the information exchange requirements of Iran's notifiable diseases surveillance system. MATERIALS AND METHODS: First, the Iran's Notifiable diseases Minimum Data Set (INMDS) was determined according to a literature review coupled with agreements of experts. Then the INMDS was mapped to international terminologies and classification systems, and the Health Level seven-Clinical Document Architecture (HL7-CDA) standard was leveraged to define the exchangeable and machine-readable data formats. RESULTS: A core dataset consisting of 15 classes and 96 data fields was defined. Data elements and response values were mapped to Systematized Nomenclature of Medicine-Clinical Terms (SNOMED-CT) reference terminology. Then HL7-CDA standard for interoperable data exchange were defined. CONCLUSION: The notifiable disease surveillance requires an integrative participation of multidisciplinary team. In this field, data interoperability is more essential due to the heterogeneous nature of health information systems. Developing of INMDS based on HL7-CDA along with SNOMED-CT codes offers an inclusive and interoperable dataset that can help make notifiable diseases data more comparable and reportable across studies and organizations. The proposed data model will be further modifications in the future according probable changes in Iran's notifiable diseases list.  © 2021 Journal of Education and Health Promotion.","Article","Final","","Scopus","2-s2.0-85116106161"
"Benbrahim H.; Hachimi H.; Amine A.","Benbrahim, Houssam (57208001313); Hachimi, Hanaa (54911738900); Amine, Aouatif (24512212000)","57208001313; 54911738900; 24512212000","The Moroccan Health Data Bank: A Proposal for a National Electronic Health System Based on Big Data","2024","Journal of Information Technology Management","16","1","","79","97","18","0","10.22059/jitm.2024.96376","https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85189687536&doi=10.22059%2fjitm.2024.96376&partnerID=40&md5=215f5323fee0f6a594e98b0e6efe62f5","This work serves to propose a national electronic health system based on the Big Data approach. First of all, we assessed the practice of health information systems (HIS) in Morocco and their obstacles. We performed a survey that was founded on 24 questions to specify the necessary details on this topic. This study shows that there is a primary need for the establishment of an HIS that facilitates the control, analysis, and management of health data in Morocco. For this reason, we have proposed the implementation of the Moroccan Health Data Bank (MHDB). This system will be based on powerful big data technologies that save, manage, and process health data with greater efficiency. The information present in this proposed system can provide the necessary resources for several actors to exploit this wealth, which is embodied in this massive data. We have developed a general description of the MHDB, its components, its conceptual architecture, and an example of a use case. © 2024 University of Tehran. All rights reserved.","Article","Final","","Scopus","2-s2.0-85189687536"
"Dang A.; Beydoun G.","Dang, Anthony (57815778500); Beydoun, Ghassan (55912707700)","57815778500; 55912707700","Toward Addressing the Software Architecture Blind Spot of Information System Success Factors in the Public Health Domain","2023","International Conference on Information Systems, ICIS 2023: ""Rising like a Phoenix: Emerging from the Pandemic and Reshaping Human Endeavors with Digital Technologies""","","","","","","","0","","https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85192506028&partnerID=40&md5=fe55fff49c8315db42e53ff324db19c1","Context: In the public health domain, there is no shortage of failed Information Systems projects. In addition to overblown budgets and elapsed deadlines (ad nauseam), technical issues exist. These include poor usability, instability, system performance, and data inconsistency issues. The issues relate to Software Engineering, and specifically Software Architecture. The role of Software Architecture underpins these issues. However, the enquiries and analyses of these failed Information Systems projects have focused on the perspective of stakeholders (e.g., government ministers and health practitioners) and project managers. While stakeholders provide input into project requirements and goals, the project failure or success does not emanate from these roles exclusively. For example, system instability is not specifically a stakeholder issue but rather a Software Architecture concern. Aim: To bring to bear and address public sector health Information System failure from the Software Architecture perspective. Method: A literature survey was conducted to ascertain the perceived failure and success factors within the public health domain. Results: We observed that the available literature on health Information Systems appears to lack success factors which have been noted in the Software Engineering and Software Architecture literature. Software Architecture appears to be an understudied area within the public health domain. Contribution: To bring awareness to the public health domain that the Information System's success requires multi-faceted perspectives and actions. Specifically, perspectives and actions involving Software Architects and Software Engineers are required to successfully address the quality attributes of the proposed systems during development. Copyright © 2023 Anthony Dang and Ghassan Beydoun.","Conference paper","Final","","Scopus","2-s2.0-85192506028"
"Rghioui A.; Bouchkaren S.; Khannous A.","Rghioui, Anass (55766057600); Bouchkaren, Said (56308403400); Khannous, Anas (56307893100)","55766057600; 56308403400; 56307893100","Blockchain-based Electronic Healthcare Information System Optimized for Developing Countries","2022","IAENG International Journal of Computer Science","49","3","IJCS_49_3_22","","","","7","","https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85137999431&partnerID=40&md5=c4f80d3ffe488287e78b4f57a573d835","Healthcare is the most crucial sector in people’s life. Many applications and systems have been proposed to improve the healthcare area. The outbreak of the novel coronavirus Covid19 turns more focus on healthcare applications. To manage medical data, healthcare professionals in developed countries have adopted several electronic healthcare information systems and technologies in recent years. However, these technologies show serious privacy risks and security issues, especially in the transfer of data and the recording of data transactions. Furthermore, the high cost of these technologies acquisition, as well as the complexity of their management, make their application in underdeveloped nations extremely problematic. This article proposes a solution based on a decentralized Blockchain architecture to reinforce the security of health information systems. This solution is particularly recommended for developing countries which lack high-tech infrastructures and suffer from poor interoperability between existing information systems. Various researches and works that implement blockchainbased solutions in the security of electronic health information systems (eHIS) are discussed in this article. A new approach based on a hyperledger fabric, implementing smart contracts and several other components is proposed. The suggested architecture involves many actors who can interact with medical records such as patients, doctors, pharmacists, laboratories and insurance companies. Data privacy is guaranteed because there is minimal risk of unauthorized access entities, and by design, the smart contract is the sole way to manipulate participant data. Various optimization and measurement experiments were carried on. The results covering various key parameters of system performance such as throughput, latency, CPU usage, memory consumption and network usage are presented © 2022,IAENG International Journal of Computer Science.All Rights Reserved","Article","Final","","Scopus","2-s2.0-85137999431"
"Guimaraes T.; Duarte R.; Cunha J.; Gomes P.; Santos M.F.","Guimaraes, Tiago (56028519600); Duarte, Ricardo (57451978000); Cunha, Joao (57188750944); Gomes, Paulo (57747957900); Santos, Manuel Filipe (57203612534)","56028519600; 57451978000; 57188750944; 57747957900; 57203612534","Security and Immutability of Open Data in Healthcare","2023","Procedia Computer Science","220","","","832","837","5","2","10.1016/j.procs.2023.03.111","https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85164469437&doi=10.1016%2fj.procs.2023.03.111&partnerID=40&md5=3d14afc1da70f8fa09ad2d0211046a7c","Clinical data are sensitive data given the origin of the information. Since the implementation of health information systems, some issues such as interoperability, security, and privacy have been strongly questioned. Storing and consulting them raises the same concerns. Given these concerns, any attempt to introduce healthcare information systems must guarantee the security and privacy, integrity, and immutability of patient information. It is in this sense that blockchain technology and the openEHR open data model appear, as they manage to guarantee interoperability between systems, data security and guarantees about queries of each stored data. In order to understand how to increase security and immutability in an implementation of open data models in hospitals, two distinct architectures were developed. In these architectures, several performance tests were carried out. To understand which of them represents more value to a health institution, an analysis of the results was prepared and, consequently, a discussion about them was held to be able to draw the respective conclusions. © 2023 Elsevier B.V.. All rights reserved.","Conference paper","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85164469437"
"Yari I.A.; Dehling T.; Kluge F.; Geck J.; Sunyaev A.; Eskofier B.","Yari, Imrana Abdullahi (57202197650); Dehling, Tobias (55711227600); Kluge, Felix (57192813255); Geck, Juergen (57359009200); Sunyaev, Ali (24779131200); Eskofier, Bjoern (26428080900)","57202197650; 55711227600; 57192813255; 57359009200; 24779131200; 26428080900","Security engineering of patient-centered health care information systems in peer-to-peer environments: Systematic review","2021","Journal of Medical Internet Research","23","11","e24460","","","","5","10.2196/24460","https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85120429750&doi=10.2196%2f24460&partnerID=40&md5=1d0cb3be7f6d60cda4f64e321925a750","Background: Patient-centered health care information systems (PHSs) enable patients to take control and become knowledgeable about their own health, preferably in a secure environment. Current and emerging PHSs use either a centralized database, peer-to-peer (P2P) technology, or distributed ledger technology for PHS deployment. The evolving COVID-19 decentralized Bluetooth-based tracing systems are examples of disease-centric P2P PHSs. Although using P2P technology for the provision of PHSs can be flexible, scalable, resilient to a single point of failure, and inexpensive for patients, the use of health information on P2P networks poses major security issues as users must manage information security largely by themselves. Objective: This study aims to identify the inherent security issues for PHS deployment in P2P networks and how they can be overcome. In addition, this study reviews different P2P architectures and proposes a suitable architecture for P2P PHS deployment. Methods: A systematic literature review was conducted following PRISMA (Preferred Reporting Items for Systematic Reviews and Meta-Analyses) reporting guidelines. Thematic analysis was used for data analysis. We searched the following databases: IEEE Digital Library, PubMed, Science Direct, ACM Digital Library, Scopus, and Semantic Scholar. The search was conducted on articles published between 2008 and 2020. The Common Vulnerability Scoring System was used as a guide for rating security issues. Results: Our findings are consolidated into 8 key security issues associated with PHS implementation and deployment on P2P networks and 7 factors promoting them. Moreover, we propose a suitable architecture for P2P PHSs and guidelines for the provision of PHSs while maintaining information security. Conclusions: Despite the clear advantages of P2P PHSs, the absence of centralized controls and inconsistent views of the network on some P2P systems have profound adverse impacts in terms of security. The security issues identified in this study need to be addressed to increase patients' intention to use PHSs on P2P networks by making them safe to use. © Imrana Abdullahi Yari, Tobias Dehling, Felix Kluge, Juergen Geck, Ali Sunyaev, Bjoern Eskofier. Originally published in the Journal of Medical Internet Research (https://www.jmir.org), 15.11.2021. This is an open-access article distributed under the terms of the Creative Commons Attribution License (https://creativecommons.org/licenses/by/4.0/), which permits unrestricted use, distribution, and reproduction in any medium, provided the original work, first published in the Journal of Medical Internet Research, is properly cited. The complete bibliographic information, a link to the original publication on https://www.jmir.org/, as well as this copyright and license information must be included.","Review","Final","","Scopus","2-s2.0-85120429750"
"Merzweiler A.; Stäubert S.; Strübing A.; Tonmbiak A.; Kaulke K.; Drepper J.; Bergh B.; Winter A.","Merzweiler, Angela (7801327466); Stäubert, Sebastian (36648060200); Strübing, Alexander (13610294900); Tonmbiak, Armel (57224206689); Kaulke, Knut (57224206914); Drepper, Johannes (56254088500); Bergh, Björn (6701419251); Winter, Alfred (7202642905)","7801327466; 36648060200; 13610294900; 57224206689; 57224206914; 56254088500; 6701419251; 7202642905","The process of modeling information system architectures with IHE","2021","German Medical Data Sciences: Bringing Data to Life: Proceedings of the Joint Annual Meeting of the German Association of Medical Informatics, Biometry and Epidemiology (gmds e.V.) and the Central European Network - International Biometric Society (CEN-IBS) 2020 in Berlin, Germany","278","","","163","170","7","0","10.3233/SHTI210065","https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85107238415&doi=10.3233%2fSHTI210065&partnerID=40&md5=ecf1a0907a57df1866a2208feb4c779b","IHE has defined more than 200 integration profiles in order to improve the interoperability of application systems in healthcare. These profiles describe how standards should be used in particular use cases. These profiles are very helpful but their correct use is challenging, if the user is not familiar to the specifications. Therefore, inexperienced modelers of information systems quickly lose track of existing IHE profiles. In addition, the users of these profiles are often not aware of rules that are defined within these profiles and of dependencies that exist between the profiles. There are also modelers that do not notice the differences between the implemented actors, because they do not know the optional capabilities of some actors. The aim of this paper is therefore to describe a concept how modelers of information systems can be supported in the selection and use of IHE profiles and how this concept was prototypically implemented in the ""Three-layer Graph-based meta model"" modeling tool (3LGM Tool). The described modeling process consists of the following steps that can be looped: defining the use case, choosing suitable integration profiles, choosing actors and their options and assigning them to application systems, checking for required actor groupings and modeling transactions. Most of these steps were implemented in the 3LGM Tool. Further implementation effort and evaluation of our approach by inexperienced users is needed. But after that our tool should be a valuable tool for modelers planning healthcare information system architectures, in particular those based on IHE. © 2021 The authors and IOS Press.","Book chapter","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85107238415"
"Haddad T.; Kumarapeli P.; de Lusignan S.","Haddad, Tia (59297681500); Kumarapeli, Pushpa (13907399900); de Lusignan, Simon (7003334937)","59297681500; 13907399900; 7003334937","Barriers and Opportunities in Developing Health Information System (HIS) Architectures to Support Universal Health Coverage in Resource-Limited Settings","2025","Studies in health technology and informatics","327","","","363","367","4","0","10.3233/SHTI250345","https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-105005817010&doi=10.3233%2fSHTI250345&partnerID=40&md5=c74e41632c3583f00cc28fb6fc8b94f2","Health Information Systems (HIS) are critical for effective healthcare delivery, especially in resource-limited settings, where access to quality care is challenging. HIS supports Universal Health Coverage (UHC) delivery by managing health data efficiently and aligning national health policies with organisational needs for a more patient-centred approach. This paper explores the barriers and opportunities in developing robust HIS software architectures in such healthcare settings. Key barriers include unreliable infrastructure, insufficient technical support, poor data quality, and financial constraints. However, opportunities for improvement exist, such as adopting interoperable systems, open-source standards, cloud-based solutions, modular upgrades, and capacity-building initiatives. Involving key stakeholders and developing strong policy frameworks are also essential. Future research should focus on improving global interoperability, data quality, sustainability, and scalability to ensure HIS can support UHC goals in resource-limited environments.","Article","Final","","Scopus","2-s2.0-105005817010"
"Ndlovu K.; Mars M.; Scott R.E.","Ndlovu, Kagiso (57189492929); Mars, Maurice (7005417542); Scott, Richard E. (7404343143)","57189492929; 7005417542; 7404343143","Validation of an Interoperability Framework for Linking mHealth Apps to Electronic Record Systems in Botswana: Expert Survey Study","2023","JMIR Formative Research","7","","e41225","","","","5","10.2196/41225","https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85158834627&doi=10.2196%2f41225&partnerID=40&md5=26e0e2ab970e7ae233aceb8a5270173d","Background: Electronic record (eRecord) systems and mobile health (mHealth) apps have documented potential to improve health service delivery, resulting in increased global uptake. However, their interoperability remains a global challenge hindering diagnosis, monitoring of health conditions, and data access irrespective of geographic location. Given the widespread use of mobile devices by patients and health care providers, linking mHealth apps and eRecord systems could result in a comprehensive and seamless data exchange within a health care community. The Botswana National eHealth Strategy recognizes interoperability as an issue and mHealth as a potential solution for some health care needs but is silent on how to make mHealth apps interoperable with existing eRecord systems. A literature review and analysis of existing mHealth interoperability frameworks found none suitable for Botswana. As such, it was critical to conceptualize, design, and develop an mHealth-eRecord Interoperability Framework (mHeRIF) to enhance the interoperability pillar of the Botswana National eHealth Strategy and leverage the full benefits of linking mHealth apps with other health information systems. Objective: This study aimed to validate the developed mHeRIF and determine whether it requires further refinement before consideration towards enhancing the National eHealth Strategy. Methods: Published framework validation approaches guided the development of a survey administered to 12 purposively selected local and international eHealth experts. In total, 25% (3/12) of the experts were drawn from Botswana, 25% (3/12) were drawn from low- and middle-income countries in sub-Saharan Africa, 25% (3/12) were drawn from low- and middle-income countries outside Africa, and 25% (3/12) were drawn from high-income countries. Quantitative responses were collated in a Microsoft Excel (Microsoft Corp) spreadsheet for descriptive analysis, and the NVivo software (version 11; QSR International) was used to aid the thematic analysis of the qualitative open-ended questions. Results: The analysis of responses showed overall support for the content and format of the proposed mHeRIF. However, some experts’ suggestions led to 4 modest revisions of the mHeRIF. Conclusions: Overall, the experts’ reviews showed that the mHeRIF could contribute to the National eHealth Strategy by guiding the linking of mHealth apps to existing eRecord systems in Botswana. Similarly, the experts validated an architectural model derived from the mHeRIF in support of the first mobile telemedicine initiative considered for national rollout in Botswana. The mHeRIF helps identify key components to consider before and after linking mHealth apps to eRecord systems and is being considered for use as the foundation of such interoperability in Botswana. © Kagiso Ndlovu, Maurice Mars, Richard E Scott.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85158834627"
"Smallwood C.; Matos C.; Monteiro H.; Shapiro M.; Ngoc M.T.; Elamein M.; Raz R.; Petragallo S.","Smallwood, Catherine (54892710200); Matos, Carlos (59525271900); Monteiro, Hugo (59570100500); Shapiro, Mark (59525166600); Ngoc, Miranda Tran (59525166700); Elamein, Mohamed (57194502129); Raz, Raviv (59525901100); Petragallo, Samuel (58954854700)","54892710200; 59525271900; 59570100500; 59525166600; 59525166700; 57194502129; 59525901100; 58954854700","Enhancing information for action: A strategic tool for strengthening public health emergency management systems","2025","International Journal of Medical Informatics","196","","105791","","","","0","10.1016/j.ijmedinf.2025.105791","https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85215857421&doi=10.1016%2fj.ijmedinf.2025.105791&partnerID=40&md5=732fb71a09bac20a487a05c650f6c796","Background: This paper addresses the importance of timely and robust information systems that underpin emergency response decision-making, as evidenced during the COVID-19 pandemic in the WHO European Region. Recognizing the relevance of these systems, we propose the strengthening of national emergency response information management systems (ERIMS) within the broader digital health information system (HIS) framework. We aim to develop and present an innovative assessment tool designed to evaluate and assist in the strengthening of ERIMS, contributing to a more resilient and effective emergency response. Methods: This study presents the development of an ERIMS assessment tool using a systems-based approach and defined standards by the WHO Regional Office for Europe. The tool provides a systematic methodology to evaluate and enhance a country's ERIMS capacity, and is designed to accommodate different information system architecture, emergency response coordination mechanisms, and digitalisation levels. The development process involved consultations with experts in digital health, emergency management, and public health policy, as well as lessons identified through pilot implementation of the assessment tool in several countries. Main findings: The application of this tool revealed gaps in existing ERIMS and highlighted the importance of digital transformation in emergency management practices. The tool facilitated the identification of priority areas for improvement and supported the establishment of best practices and international standards for digital health initiatives that relate to emergency management. Conclusions: This assessment tool represents a contribution to the field of digital health and emergency management. It offers a way for countries to enhance their emergency response capabilities, focusing on information for action. By improving ERIMS, countries can ensure better preparedness, timely response and effective recovery from health emergencies, thereby strengthening global health security in the face of future challenges. © 2025","Article","Final","","Scopus","2-s2.0-85215857421"
"Gazzarata R.; Maggi N.; Magnoni L.D.; Monteverde M.E.; Ruggiero C.; Giacomini M.","Gazzarata, Roberta (36466289400); Maggi, Norbert (36724971000); Magnoni, Luca Douglas (57213596940); Monteverde, Maria Eugenia (57213237834); Ruggiero, Carmelina (35561242000); Giacomini, Mauro (55208666200)","36466289400; 36724971000; 57213596940; 57213237834; 35561242000; 55208666200","Semantics Management for a Regional Health Information System in Italy by CTS2 and FHIR","2021","Studies in Health Technology and Informatics","287","","","119","123","4","4","10.3233/SHTI210828","https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85120531998&doi=10.3233%2fSHTI210828&partnerID=40&md5=a4f7147544e8b4cfb30c9cd09edc0210","An infrastructure for the management of semantics is being developed to support the regional health information exchange in Veneto - an Italian region which has about 5 million inhabitants. Terminology plays a key role in the management of the information fluxes of the Veneto region, in which the management of electronic health record is given great attention. An architecture for the management of the semantics of laboratory reports has been set up, adopting standards by HL7. The system has been initially developed according to the common terminology service release 2 (CTS2) standard and, in order to overcome complexities of CTS2 is being revised according to the Fast Healthcare Interoperability Resources (FHIR) standard, which has been subsequently introduced. Aspects of CST2 and of FHIR have been considered in order to retain most suitable aspects of both. This integration can be regarded as most worthwhile.  © 2021 The European Federation for Medical Informatics (EFMI) and IOS Press. All rights reserved.","Conference paper","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85120531998"
"Gayathri S.; Jaya Mabel Rani A.; Anushalin P.S.; Ravi C.N.; Jeyalaxmi M.; Samuthira Pandi V.","Gayathri, S. (57210348048); Jaya Mabel Rani, A. (57939717100); Anushalin, P.S. (59223957900); Ravi, C.N. (59668694100); Jeyalaxmi, M. (42461652300); Samuthira Pandi, V. (57191615002)","57210348048; 57939717100; 59223957900; 59668694100; 42461652300; 57191615002","A Novel Approach to Design Secured and Privacy Enabled Health Data Linkage System based on Cyber Security Principles","2024","2024 IEEE International Conference on Big Data and Machine Learning, ICBDML 2024","","","","14","20","6","0","10.1109/ICBDML60909.2024.10577373","https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85198902714&doi=10.1109%2fICBDML60909.2024.10577373&partnerID=40&md5=29d28cb960fcf2b57dc3ce863abd26cc","Medical records from a variety of sources must be integrated into healthcare data repositories for knowledge discovery to be possible. An essential area of study is how to keep records linked when merging medical data. Researchers have proposed many solutions to this issue, all of which are relevant to industrialized nations that use patient identification numbers such as social security numbers, health insurance numbers, universal patient identifiers (UPIs), etc., to keep track of electronic health records. Because of issues with missing data, unclear patient identification, and excessive noise in patient information, these systems are not suitable for record linking of health data in underdeveloped nations. There is a serious concern that patients' personally identifiable information stored in electronic health records poses a threat to their privacy and leaves health information systems open to intrusion. We have examined the real-world challenges of healthcare data collection and integration for a national health data warehouse in this article. To accommodate the limited health data of poor nations like Bangladesh, we have developed privacy-preserving secured record linkage architecture we call Secured Health Data Handler (SHDH). For the purpose of facilitating the knowledge discovery process, our approach may anonymize identifying private data of patients while preserving record linkage in integrated health repositories. Even without a standard ID, our suggested strategy was able to connect records with sufficient accuracy for noisy data, according to the experimental results.  © 2024 IEEE.","Conference paper","Final","","Scopus","2-s2.0-85198902714"
"Thantharate P.; Thantharate A.","Thantharate, Pratik (58609667700); Thantharate, Anurag (57211677909)","58609667700; 57211677909","ZeroTrustBlock: Enhancing Security, Privacy, and Interoperability of Sensitive Data through ZeroTrust Permissioned Blockchain","2023","Big Data and Cognitive Computing","7","4","165","","","","27","10.3390/bdcc7040165","https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85178886704&doi=10.3390%2fbdcc7040165&partnerID=40&md5=8927aef06398298e7c66de34b3c26a7b","With the digitization of healthcare, an immense amount of sensitive medical data are generated and shared between various healthcare stakeholders—however, traditional health data management mechanisms present interoperability, security, and privacy challenges. The centralized nature of current health information systems leads to single points of failure, making the data vulnerable to cyberattacks. Patients also have little control over their medical records, raising privacy concerns. Blockchain technology presents a promising solution to these challenges through its decentralized, transparent, and immutable properties. This research proposes ZeroTrustBlock, a comprehensive blockchain framework for secure and private health information exchange. The decentralized ledger enhances integrity, while permissioned access and smart contracts enable patient-centric control over medical data sharing. A hybrid on-chain and off-chain storage model balances transparency with confidentiality. Integration gateways bridge ZeroTrustBlock protocols with existing systems like EHRs. Implemented on Hyperledger Fabric, ZeroTrustBlock demonstrates substantial security improvements over mainstream databases via cryptographic mechanisms, formal privacy-preserving protocols, and access policies enacting patient consent. Results validate the architecture’s effectiveness in achieving 14,200 TPS average throughput, 480 ms average latency for 100,000 concurrent transactions, and linear scalability up to 20 nodes. However, enhancements around performance, advanced cryptography, and real-world pilots are future work. Overall, ZeroTrustBlock provides a robust application of blockchain capabilities to transform security, privacy, interoperability, and patient agency in health data management. © 2023 by the authors.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85178886704"
"Zhu J.","Zhu, Jinbang (58370071200)","58370071200","Real-time monitoring for sport and mental health prevention of college student based on wireless sensor network","2023","Preventive Medicine","173","","107581","","","","4","10.1016/j.ypmed.2023.107581","https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85163146276&doi=10.1016%2fj.ypmed.2023.107581&partnerID=40&md5=ff5369da400dc0c1dc2dfc37b3f04e10","This article uses wireless sensor network technology to freely combine multiple sensor nodes to achieve, but the scale and capacity of WSN internal nodes are limited, so it is easier to encounter a series of network attacks and security threats. When setting the access protocol, the protocol needs to identify the precautions for malicious attacks against the network, and at the same time try to achieve a balance between network weights to improve the life cycle of the network. This paper presents a multi-station basis for a wireless sensor connection system. The design uses elliptic curve encryption technology to ensure the security of identification between the base station and the cluster head, and uses blockchain technology to ensure the security and efficiency of the ID card between the base station and the terminal. And design a real-time monitoring system through wireless sensor network to monitor the sport and mental health of students. We have analyzed the system demand information of college students' sport and mental health, and analyzed the problems that the system needs to solve in detail. Through in-depth analysis of the sport and mental health information system, using wireless sensor network technology, we conducts a thorough investigation of the needs of the student sport and mental health system. Then we conduct an in-depth analysis of the system structure, architecture design, business model, available system, database system, to make the system more acceptable to people. © 2023 The Author","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85163146276"
"Noran O.; Bernus P.","Noran, Ovidiu (6506759416); Bernus, Peter (6603347028)","6506759416; 6603347028","Towards an Evaluation Framework for Ubiquitous, Self-Evolving Patient Identification Solutions in Health Information Systems","2021","Procedia Computer Science","196","","","550","560","10","4","10.1016/j.procs.2021.12.048","https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85122893845&doi=10.1016%2fj.procs.2021.12.048&partnerID=40&md5=709d9ed32f05f057eae9431050dc415d","The increasing adoption of Health Information Systems (HIS) does not seem to have resolved the ongoing lack of ubiquitous, dependable and accurate patient information so as to effectively prevent medical errors. Previous work has identified multiple causes, including but not limited to improper or incomplete HIS implementation, incompatibility in healthcare standards, lack of proper data input and validation, and accelerating evolution of technology triggering instability of candidate solutions depending on it. This paper continues the research by describing high-level non-functional requirements that any solution should satisfy relying on current best-practice, and subsequently customizing an established international standard so as to define an evaluation framework that can be used to assess candidate HIS architectures. The ultimate aim of the research is to support selection of stable, sustainable long-term architectural solutions and thus to assist HIS strategic decision making and self-evolution supporting agility. © 2021 Elsevier B.V. All rights reserved.","Conference paper","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85122893845"
